movie_id,title,genres,year,imdb_rating,imdb_num_votes,is_adult,runtime_minutes,budget,original_language,overview,popularity,revenue,tagline,tmdb_vote_count,tmdb_vote_avg
1,toy story,animation children's comedy,1995,8,953300,0,81,30000000,en,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",155,373554033,,15158,8
2,jumanji,adventure children's fantasy,1995,7,333517,0,104,65000000,en,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",18,262797249,Roll the dice and unleash the excitement!,8836,7
3,grumpier old men,comedy romance,1995,6,26811,0,101,25000000,en,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",11,71500000,Still Yelling. Still Fighting. Still Ready for Love.,288,6
4,waiting to exhale,comedy drama,1995,5,10757,0,124,16000000,en,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",8,81452156,Friends are the people who let you be yourself... and never let you forget it.,120,6
5,father of the bride part ii,comedy,1995,6,37343,0,106,0,en,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",14,76594107,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,561,6
6,heat,action crime thriller,1995,8,627213,0,170,60000000,en,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,44,187436818,A Los Angeles crime saga.,5375,7
7,sabrina,comedy romance,1995,6,40380,0,127,58000000,en,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",17,53672080,You are cordially invited to the most surprising merger of the year.,455,6
8,tom and huck,adventure children's,1995,5,10708,0,97,0,en,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",8,23920048,The Original Bad Boys.,141,5
9,sudden death,action,1995,5,34090,0,111,35000000,en,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,14,64350171,Terror goes into overtime.,534,5
10,goldeneye,action adventure thriller,1995,7,252518,0,130,58000000,en,"When a powerful Russian satellite weapon is hijacked by a mysterious crime syndicate, it's up to James Bond, with the help of programmer Natalya Simonova, to find the culprits and save the world from disaster.",30,352194034,No limits. No fears. No substitutes.,3053,6
11,"american president, the",comedy drama romance,1995,6,56507,0,114,62000000,en,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",12,107879496,Why can't the most powerful man in the world have the one thing he wants most?,538,6
12,dracula: dead and loving it,comedy horror,1995,5,41135,0,88,30000000,en,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",23,10772144,,723,6
13,balto,animation children's,1995,7,42711,0,78,0,en,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",24,11348324,Part Dog. Part Wolf. All Hero.,1685,7
14,nixon,drama,1995,7,30529,0,192,44000000,en,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,8,13681765,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",256,6
15,cutthroat island,action adventure romance,1995,5,27785,0,124,98000000,en,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",14,10017322,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,403,5
16,casino,drama thriller,1995,8,501200,0,178,52000000,en,"In early-1970s Las Vegas, low-level mobster Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",25,116112375,No one stays at the top forever.,4397,8
17,sense and sensibility,drama romance,1995,7,112484,0,136,16000000,en,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",15,134582776,Lose your heart and come to your senses.,1300,7
18,four rooms,thriller,1995,6,103228,0,98,4000000,en,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,17,4257354,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",2127,5
