tconst,averageRating,numVotes,titleType,title,originalTitle,isAdult,year,runtimeMinutes,imdb_genres
tt0010418,7.0,1853,movie,male and female,Male and Female,0,1919,116,"Adventure,Drama"
tt0011652,6.1,1565,movie,the saphead,The Saphead,0,1920,77,Comedy
tt0012349,8.3,123451,movie,the kid,The Kid,0,1921,68,"Comedy,Drama,Family"
tt0013442,7.9,94382,movie,nosferatu,"Nosferatu, eine Symphonie des Grauens",0,1922,94,"Fantasy,Horror"
tt0013662,7.1,475,movie,tess of the storm country,Tess of the Storm Country,0,1922,137,"Drama,Romance"
tt0014538,7.0,4377,movie,three ages,Three Ages,0,1923,63,Comedy
tt0015452,7.2,52,short,vacation,Vacation,0,1924,8,"Animation,Comedy,Short"
tt0015648,8.0,56664,movie,battleship potemkin,Bronenosets Potemkin,0,1925,75,"Drama,History,Thriller"
tt0015693,6.4,746,movie,cobra,Cobra,0,1925,70,"Drama,Romance"
tt0015863,7.2,4249,movie,go west,Go West,0,1925,69,"Comedy,Western"
tt0015864,8.2,108881,movie,the gold rush,The Gold Rush,0,1925,95,"Adventure,Comedy,Drama"
tt0016230,5.8,2475,movie,the pleasure garden,The Pleasure Garden,0,1925,75,"Drama,Romance"
tt0016332,7.9,10080,movie,seven chances,Seven Chances,0,1925,56,"Comedy,Romance"
tt0016630,7.0,3344,movie,battling butler,Battling Butler,0,1926,77,"Comedy,Sport"
tt0016640,6.5,434,movie,the bells,The Bells,0,1926,68,"Crime,Drama,Horror"
tt0017136,8.3,170299,movie,metropolis,Metropolis,0,1927,153,"Drama,Sci-Fi"
tt0017350,7.7,1794,movie,the scarlet letter,The Scarlet Letter,0,1926,115,Drama
tt0017416,6.6,1965,movie,the son of the sheik,The Son of the Sheik,0,1926,68,"Adventure,Drama,Romance"
tt0017423,7.4,1319,movie,sparrows,Sparrows,0,1926,109,Drama
tt0017825,6.0,2532,movie,when boys leave home,Downhill,0,1927,80,"Adventure,Drama,Thriller"
tt0017843,5.5,2757,movie,easy virtue,Easy Virtue,0,1927,80,"Romance,Thriller"
tt0017925,8.2,89084,movie,the general,The General,0,1926,67,"Action,Adventure,Comedy"
tt0018183,7.5,862,movie,my best girl,My Best Girl,0,1927,80,"Comedy,Romance"
tt0018328,6.2,3473,movie,the ring,The Ring,0,1927,116,"Drama,Romance,Sport"
tt0018578,7.6,12570,movie,wings,Wings,0,1927,144,"Action,Drama,Romance"
tt0018756,5.5,2308,movie,champagne,Champagne,0,1928,86,Comedy
tt0018773,8.1,33047,movie,the circus,The Circus,0,1928,72,"Comedy,Family,Romance"
tt0018876,5.8,2790,movie,the farmer's wife,The Farmer's Wife,0,1928,100,"Comedy,Drama,Romance"
tt0019422,7.5,8984,short,steamboat willie,Steamboat Willie,0,1928,8,"Animation,Comedy,Family"
tt0019702,6.9,10536,movie,blackmail,Blackmail,0,1929,85,"Crime,Thriller"
tt0019729,5.7,7073,movie,the broadway melody,The Broadway Melody,0,1929,100,"Drama,Musical,Romance"
tt0020142,6.2,2914,movie,the manxman,The Manxman,0,1929,110,"Drama,Romance"
tt0020594,6.9,341,movie,with byrd at the south pole,With Byrd at the South Pole,0,1930,82,"Adventure,Documentary"
tt0020629,8.1,60384,movie,all quiet on the western front,All Quiet on the Western Front,0,1930,152,"Drama,War"
tt0020668,6.4,988,movie,the bat whispers,The Bat Whispers,0,1930,83,"Crime,Drama,Horror"
tt0020697,7.7,14819,movie,the blue angel,Der blaue Engel,0,1930,104,"Drama,Music"
tt0020852,5.0,440,movie,elstree calling,Elstree Calling,0,1930,86,"Comedy,Musical"
tt0021165,6.3,6272,movie,murder!,Murder!,0,1930,104,"Crime,Mystery,Thriller"
tt0021746,5.9,6035,movie,cimarron,Cimarron,0,1931,123,"Drama,Western"
tt0021749,8.5,180199,movie,city lights,City Lights,0,1931,87,"Comedy,Drama,Romance"
tt0021775,5.8,141,movie,daddy long legs,Daddy Long Legs,0,1931,80,"Comedy,Romance"
tt0021814,7.4,50974,movie,dracula,Dracula,0,1931,75,"Drama,Fantasy,Horror"
tt0021884,7.8,70562,movie,frankenstein,Frankenstein,0,1931,70,"Drama,Horror,Sci-Fi"
tt0022100,8.3,154050,movie,m,M - Eine Stadt sucht einen Mörder,0,1931,117,"Crime,Mystery,Thriller"
tt0022395,5.7,3168,movie,the skin game,The Skin Game,0,1931,85,Drama
tt0022879,6.4,5888,movie,a farewell to arms,A Farewell to Arms,0,1932,80,"Drama,Romance,War"
tt0022958,7.3,18915,movie,grand hotel,Grand Hotel,0,1932,112,"Drama,Romance"
tt0023245,7.0,26035,movie,the mummy,The Mummy,0,1932,73,"Fantasy,Horror"
tt0023285,5.7,4766,movie,number 17,Number Seventeen,0,1932,66,"Crime,Mystery,Thriller"
tt0023369,6.9,2684,movie,rain,Rain,0,1932,94,Drama
tt0023395,5.7,4262,movie,east of shanghai,Rich and Strange,0,1931,110,"Comedy,Drama,Romance"
tt0023622,8.0,14362,movie,trouble in paradise,Trouble in Paradise,0,1932,83,"Comedy,Crime,Romance"
tt0023876,5.9,5121,movie,cavalcade,Cavalcade,0,1933,112,"Drama,Romance,War"
tt0023969,7.8,59442,movie,duck soup,Duck Soup,0,1933,69,"Comedy,Musical"
tt0024184,7.7,34034,movie,the invisible man,The Invisible Man,0,1933,71,"Horror,Sci-Fi"
tt0024216,7.9,83954,movie,king kong,King Kong,0,1933,100,"Adventure,Horror,Sci-Fi"
tt0024252,7.5,1414,movie,playing at love,Liebelei,0,1933,88,"Drama,Romance"
tt0024645,4.9,702,movie,tarzan the fearless,Tarzan the Fearless,0,1933,200,"Adventure,Family"
tt0024747,5.8,1455,movie,strauss' great waltz,Waltzes from Vienna,0,1934,81,"Biography,Music,Romance"
tt0024852,7.2,6781,movie,march of the wooden soldiers,Babes in Toyland,0,1934,77,"Comedy,Family,Fantasy"
tt0025164,7.4,7727,movie,the gay divorcee,The Gay Divorcee,0,1934,107,"Comedy,Musical,Romance"
tt0025316,8.1,101326,movie,it happened one night,It Happened One Night,0,1934,105,"Comedy,Romance"
