movie_id,title,year,tconst
1,toy story,1995.0,tt0114709
2,jumanji,1995.0,tt0113497
3,grumpier old men,1995.0,tt0113228
4,waiting to exhale,1995.0,tt0114885
5,father of the bride part ii,1995.0,tt0113041
6,heat,1995.0,tt0113277
7,sabrina,1995.0,tt0114319
8,tom and huck,1995.0,tt0112302
9,sudden death,1995.0,tt0114576
10,goldeneye,1995.0,tt0113189
12,dracula: dead and loving it,1995.0,tt0112896
13,balto,1995.0,tt0112453
14,nixon,1995.0,tt0113987
15,cutthroat island,1995.0,tt0112760
16,casino,1995.0,tt0112641
17,sense and sensibility,1995.0,tt0114388
18,four rooms,1995.0,tt0113101
19,ace ventura: when nature calls,1995.0,tt0112281
20,money train,1995.0,tt0113845
21,get shorty,1995.0,tt0113161
22,copycat,1995.0,tt0112722
23,assassins,1995.0,tt0112401
24,powder,1995.0,tt0114168
25,leaving las vegas,1995.0,tt0113627
26,othello,1995.0,tt0114057
27,now and then,1995.0,tt0114011
31,dangerous minds,1995.0,tt0112792
33,wings of courage,1995.0,tt0114952
34,babe,1995.0,tt0112431
35,carrington,1995.0,tt0112637
36,dead man walking,1995.0,tt0112818
37,across the sea of time,1995.0,tt0112286
38,it takes two,1995.0,tt0113442
39,clueless,1995.0,tt0112697
40,"cry, the beloved country",1995.0,tt0112749
41,richard iii,1995.0,tt0114279
42,dead presidents,1995.0,tt0112819
43,restoration,1995.0,tt0114272
44,mortal kombat,1995.0,tt0113855
45,to die for,1995.0,tt0114681
46,how to make an american quilt,1995.0,tt0113347
48,pocahontas,1995.0,tt0114148
48,pocahontas,1995.0,tt9047432
49,when night is falling,1995.0,tt0114916
52,mighty aphrodite,1995.0,tt0113819
53,lamerica,1994.0,tt0110299
55,georgia,1995.0,tt0113158
56,kids of the round table,1995.0,tt0113541
57,home for the holidays,1995.0,tt0113321
61,eye for an eye,1996.0,tt0116260
62,mr. holland's opus,1995.0,tt0113862
63,don't be a menace to south central while drinking your juice in the hood,1996.0,tt0116126
64,two if by sea,1996.0,tt0118002
65,bio-dome,1996.0,tt0115683
66,lawnmower man 2: beyond cyberspace,1996.0,tt0116839
67,two bits,1995.0,tt0114753
69,friday,1995.0,tt0113118
70,from dusk till dawn,1996.0,tt0116367
71,fair game,1995.0,tt0113010
72,kicking and screaming,1995.0,tt0113537
74,bed of roses,1996.0,tt0115644
75,big bully,1996.0,tt0115676
76,screamers,1995.0,tt0114367
77,nico icon,1995.0,tt0113973
81,things to do in denver when you're dead,1995.0,tt0114660
83,once upon a time... when we were colored,1995.0,tt0114039
84,last summer in the hamptons,1995.0,tt0113612
85,angels and insects,1995.0,tt0112365
86,white squall,1996.0,tt0118158
87,dunston checks in,1996.0,tt0116151
88,black sheep,1996.0,tt0115697
89,nick of time,1995.0,tt0113972
92,mary reilly,1996.0,tt0117002
93,vampire in brooklyn,1995.0,tt0114825
94,beautiful girls,1996.0,tt0115639
95,broken arrow,1996.0,tt0115759
98,shopping,1994.0,tt0111173
99,heidi fleiss: hollywood madam,1995.0,tt0113283
100,city hall,1996.0,tt0115907
101,bottle rocket,1996.0,tt0115734
102,mr. wrong,1996.0,tt0117102
103,unforgettable,1996.0,tt0118040
104,happy gilmore,1996.0,tt0116483
107,muppet treasure island,1996.0,tt0117110
108,catwalk,1995.0,tt0112646
109,headless body in topless bar,1995.0,tt0113276
110,braveheart,1995.0,tt0112573
111,taxi driver,1976.0,tt0075314
112,rumble in the bronx,1995.0,tt0113326
113,before and after,1996.0,tt0115645
114,margaret's museum,1995.0,tt0113774
115,happiness is in the field,1995.0,tt0112556
116,anne frank remembered,1995.0,tt0112373
118,if lucy fell,1996.0,tt0116606
120,race the sun,1996.0,tt0117427
122,boomerang,1992.0,tt0103859
123,chungking express,1994.0,tt0109424
125,flirting with disaster,1996.0,tt0116324
129,pie in the sky,1995.0,tt0114131
130,angela,1995.0,tt0112364
131,frankie starlight,1995.0,tt0113107
132,jade,1995.0,tt0113451
133,nueba yol,1995.0,tt0114015
134,sonic outlaws,1995.0,tt0114500
135,down periscope,1996.0,tt0116130
136,from the journals of jean seberg,1995.0,tt0113125
137,man of the year,1995.0,tt0113756
139,target,1995.0,tt0114618
143,gospa,1995.0,tt0113200
145,bad boys,1995.0,tt0112442
149,amateur,1994.0,tt0109093
150,apollo 13,1995.0,tt0112384
150,apollo 13,1995.0,tt6590506
151,rob roy,1995.0,tt0114287
153,batman forever,1995.0,tt0112462
154,belle de jour,1967.0,tt0061395
155,beyond rangoon,1995.0,tt0112495
156,blue in the face,1995.0,tt0112541
158,casper,1995.0,tt0112642
159,clockers,1995.0,tt0112688
160,congo,1995.0,tt0112715
161,crimson tide,1995.0,tt0112740
162,crumb,1994.0,tt0109508
163,desperado,1995.0,tt0112851
164,devil in a blue dress,1995.0,tt0112857
167,feast of july,1995.0,tt0113044
168,first knight,1995.0,tt0113071
169,free willy 2: the adventure home,1995.0,tt0113114
170,hackers,1995.0,tt0113243
171,jeffrey,1995.0,tt0113464
172,johnny mnemonic,1995.0,tt0113481
173,judge dredd,1995.0,tt0113492
174,jury duty,1995.0,tt0113500
175,kids,1995.0,tt0113540
176,living in oblivion,1995.0,tt0113677
177,lord of illusions,1995.0,tt0113690
178,love & human remains,1993.0,tt0107447
179,mad love,1995.0,tt0113729
180,mallrats,1995.0,tt0113749
181,mighty morphin power rangers: the movie,1995.0,tt0113820
182,moonlight and valentino,1995.0,tt0113851
184,nadja,1994.0,tt0110620
186,nine months,1995.0,tt0113986
187,party girl,1995.0,tt0114095
189,reckless,1995.0,tt0114241
190,safe,1995.0,tt0114323
193,showgirls,1995.0,tt0114436
194,smoke,1995.0,tt0114478
195,something to talk about,1995.0,tt0114496
196,species,1995.0,tt0114508
198,strange days,1995.0,tt0114558
201,three wishes,1995.0,tt0114663
202,total eclipse,1995.0,tt0114702
202,total eclipse,1995.0,tt0286234
203,"to wong foo, thanks for everything! julie newmar",1995.0,tt0114682
204,under siege 2: dark territory,1995.0,tt0114781
205,unstrung heroes,1995.0,tt0114798
206,unzipped,1995.0,tt0114805
208,waterworld,1995.0,tt0114898
209,white man's burden,1995.0,tt0114928
210,wild bill,1995.0,tt0114938
212,bushwhacked,1995.0,tt0112602
215,before sunrise,1995.0,tt0112471
216,billy madison,1995.0,tt0112508
218,boys on the side,1995.0,tt0112571
222,circle of friends,1995.0,tt0112679
223,clerks,1994.0,tt0109445
225,disclosure,1994.0,tt0109635
227,drop zone,1994.0,tt0109676
228,destiny turns on the radio,1995.0,tt0112854
229,death and the maiden,1994.0,tt0109579
232,eat drink man woman,1994.0,tt0111797
233,exotica,1994.0,tt0109759
234,exit to eden,1994.0,tt0109758
235,ed wood,1994.0,tt0109707
236,french kiss,1995.0,tt0113117
237,forget paris,1995.0,tt0113097
238,far from home: the adventures of yellow dog,1995.0,tt0113028
240,hideaway,1995.0,tt0113303
241,fluke,1995.0,tt0113089
244,gumby: the movie,1995.0,tt0113234
246,hoop dreams,1994.0,tt0110057
247,heavenly creatures,1994.0,tt0110005
249,immortal beloved,1994.0,tt0110116
252,i.q.,1994.0,tt0110099
254,jefferson in paris,1995.0,tt0113463
256,junior,1994.0,tt0110216
257,just cause,1995.0,tt0113501
259,kiss of death,1995.0,tt0113552
261,little women,1994.0,tt0110367
263,ladybird ladybird,1994.0,tt0110296
266,legends of the fall,1994.0,tt0110322
268,little odessa,1994.0,tt0110365
270,love affair,1994.0,tt0110391
271,losing isaiah,1995.0,tt0113691
273,mary shelley's frankenstein,1994.0,tt0109836
274,man of the house,1995.0,tt0113755
275,mixed nuts,1994.0,tt0110538
276,milk money,1994.0,tt0110516
277,miracle on 34th street,1994.0,tt0110527
278,miami rhapsody,1995.0,tt0113808
279,my family,1995.0,tt0113896
280,murder in the first,1995.0,tt0113870
281,nobody's fool,1994.0,tt0110684
282,nell,1994.0,tt0110638
283,new jersey drive,1995.0,tt0113967
287,nina takes a lover,1994.0,tt0110671
288,natural born killers,1994.0,tt0110632
289,only you,1994.0,tt0110737
290,once were warriors,1994.0,tt0110729
292,outbreak,1995.0,tt0114069
296,pulp fiction,1994.0,tt0110912
297,panther,1995.0,tt0114084
297,panther,1995.0,tt1363478
299,priest,1994.0,tt0110889
300,quiz show,1994.0,tt0110932
304,roommates,1995.0,tt0114296
306,three colors: red,1994.0,tt0111495
307,three colors: blue,1993.0,tt0108394
308,three colors: white,1994.0,tt0111507
309,"red firecracker, green firecracker",1994.0,tt0110769
310,rent-a-kid,1995.0,tt0114268
311,relative fear,1994.0,tt0110965
312,stuart saves his family,1995.0,tt0114571
316,stargate,1994.0,tt0111282
319,shallow grave,1994.0,tt0111149
320,suture,1993.0,tt0108260
325,national lampoon's senior trip,1995.0,tt0113936
327,tank girl,1995.0,tt0114614
329,star trek: generations,1994.0,tt0111280
330,tales from the hood,1995.0,tt0114609
331,tom & viv,1994.0,tt0111454
332,village of the damned,1995.0,tt0114852
333,tommy boy,1995.0,tt0114694
334,vanya on 42nd street,1994.0,tt0111590
337,what's eating gilbert grape,1993.0,tt0108550
338,virtuosity,1995.0,tt0114857
339,while you were sleeping,1995.0,tt0114924
341,double happiness,1994.0,tt0109655
342,muriel's wedding,1994.0,tt0110598
344,ace ventura: pet detective,1994.0,tt0109040
347,bitter moon,1992.0,tt0104779
348,bullets over broadway,1994.0,tt0109348
349,clear and present danger,1994.0,tt0109444
351,"corrina, corrina",1994.0,tt0109484
352,crooklyn,1994.0,tt0109504
354,cobb,1994.0,tt0109450
356,forrest gump,1994.0,tt0109830
357,four weddings and a funeral,1994.0,tt0109831
358,higher learning,1995.0,tt0113305
359,i like it like that,1994.0,tt0110091
360,i love trouble,1994.0,tt0110093
361,it could happen to you,1994.0,tt0110167
365,little buddha,1993.0,tt0107426
