movie_id,title,genres,year,original_language,budget,overview,popularity,revenue,tagline,tmdb_vote_avg,tmdb_vote_count,tmdb_id
1,toy story,animation children's comedy,1995,en,30000000,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",165,373554033,,8,15156,27475
2,jumanji,adventure children's fantasy,1995,en,125000000,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",122,800059707,,7,6769,27475
3,grumpier old men,comedy romance,1995,en,25000000,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",9,71500000,Still Yelling. Still Fighting. Still Ready for Love.,6,288,27475
4,waiting to exhale,comedy drama,1995,en,16000000,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",8,81452156,Friends are the people who let you be yourself... and never let you forget it.,6,120,27475
5,father of the bride part ii,comedy,1995,en,0,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",14,76594107,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,6,561,27475
6,heat,action crime thriller,1995,en,60000000,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,41,187436818,A Los Angeles crime saga.,7,5374,27475
7,sabrina,comedy romance,1995,en,2239000,"Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work – busily running the family corporate empire, he has no time for a wife and family. David is all play – technically he is employed by the family business, but never shows up for work, spends all his time entertaining, and has been married and divorced three times. Meanwhile, Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who goes away to Paris for two years, and returns to capture David's attention, while falling in love with Linus.",19,10000000,...the chauffeur's daughter who learned her stuff in Paris,7,965,27475
8,tom and huck,adventure children's,1995,en,0,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",9,23920048,The Original Bad Boys.,5,141,27475
9,sudden death,action,1995,en,35000000,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,17,64350171,Terror goes into overtime.,5,534,27475
10,goldeneye,action adventure thriller,1995,en,58000000,"When a powerful Russian satellite weapon is hijacked by a mysterious crime syndicate, it's up to James Bond, with the help of programmer Natalya Simonova, to find the culprits and save the world from disaster.",30,352194034,No limits. No fears. No substitutes.,6,3052,27475
11,"american president, the",comedy drama romance,1995,en,62000000,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",12,107879496,Why can't the most powerful man in the world have the one thing he wants most?,6,538,27475
12,dracula: dead and loving it,comedy horror,1995,en,30000000,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",20,10772144,,6,722,27475
13,balto,animation children's,1995,en,0,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",19,11348324,Part Dog. Part Wolf. All Hero.,7,1685,27475
14,nixon,drama,1995,en,0,"In 1970, a few days before Christmas, Elvis Presley showed up on the White House lawn seeking to be deputized into the Bureau of Narcotics and Dangerous Drugs by the President himself.",12,1055287,"On December 21st, 1970, two of America's greatest recording artists met for the first time.",5,327,27475
15,cutthroat island,action adventure romance,1995,en,98000000,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",14,10017322,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,5,403,27475
16,casino,drama thriller,1995,en,150000000,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",42,599045960,Everyone has a past. Every legend has a beginning.,7,8755,27475
17,sense and sensibility,drama romance,1995,en,16000000,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",18,134582776,Lose your heart and come to your senses.,7,1300,27475
18,four rooms,thriller,1995,en,4000000,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,18,4257354,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",5,2126,27475
19,ace ventura: when nature calls,comedy,1995,en,30000000,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",27,212385533,New animals. New adventures. Same hair.,6,3298,27475
20,money train,action,1995,en,68000000,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",15,77224232,"Get on, or GET OUT THE WAY!",5,595,27475
21,get shorty,action comedy drama,1995,en,30250000,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",17,115101622,"The mob is tough, but it’s nothing like show business.",6,774,27475
