movie_id,title,genres,year,original_language,budget,overview,popularity,revenue,tagline,tmdb_vote_avg,tmdb_vote_count,tmdb_id
1,toy story,animation children's comedy,1995,en,30000000,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",155,373554033,,8,15158,6521
2,jumanji,adventure children's fantasy,1995,en,65000000,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",18,262797249,Roll the dice and unleash the excitement!,7,8836,6521
3,grumpier old men,comedy romance,1995,en,25000000,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",11,71500000,Still Yelling. Still Fighting. Still Ready for Love.,6,288,6521
4,waiting to exhale,comedy drama,1995,en,16000000,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",8,81452156,Friends are the people who let you be yourself... and never let you forget it.,6,120,6521
5,father of the bride part ii,comedy,1995,en,0,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",14,76594107,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,6,561,6521
6,heat,action crime thriller,1995,en,60000000,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,44,187436818,A Los Angeles crime saga.,7,5375,6521
7,sabrina,comedy romance,1995,en,58000000,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",17,53672080,You are cordially invited to the most surprising merger of the year.,6,455,6521
8,tom and huck,adventure children's,1995,en,0,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",8,23920048,The Original Bad Boys.,5,141,6521
9,sudden death,action,1995,en,35000000,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,14,64350171,Terror goes into overtime.,5,534,6521
10,goldeneye,action adventure thriller,1995,en,58000000,"When a powerful Russian satellite weapon is hijacked by a mysterious crime syndicate, it's up to James Bond, with the help of programmer Natalya Simonova, to find the culprits and save the world from disaster.",30,352194034,No limits. No fears. No substitutes.,6,3053,6521
