,movie_id,title,genres,year
0,1,Toy Story,animation children's comedy,1995
1,2,Jumanji,adventure children's fantasy,1995
2,3,Grumpier Old Men,comedy romance,1995
3,4,Waiting to Exhale,comedy drama,1995
4,5,Father of the Bride Part II,comedy,1995
5,6,Heat,action crime thriller,1995
6,7,Sabrina,comedy romance,1995
7,8,Tom and Huck,adventure children's,1995
8,9,Sudden Death,action,1995
9,10,GoldenEye,action adventure thriller,1995
10,11,"American President, The",comedy drama romance,1995
11,12,Dracula: Dead and Loving It,comedy horror,1995
12,13,Balto,animation children's,1995
13,14,Nixon,drama,1995
14,15,Cutthroat Island,action adventure romance,1995
15,16,Casino,drama thriller,1995
16,17,Sense and Sensibility,drama romance,1995
17,18,Four Rooms,thriller,1995
18,19,Ace Ventura: When Nature Calls,comedy,1995
19,20,Money Train,action,1995
20,21,Get Shorty,action comedy drama,1995
21,22,Copycat,crime drama thriller,1995
22,23,Assassins,thriller,1995
23,24,Powder,drama sci-fi,1995
24,25,Leaving Las Vegas,drama romance,1995
25,26,Othello,drama,1995
26,27,Now and Then,drama,1995
27,28,Persuasion,romance,1995
28,29,"City of Lost Children, The",adventure sci-fi,1995
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao),drama,1995
30,31,Dangerous Minds,drama,1995
31,32,Twelve Monkeys,drama sci-fi,1995
32,33,Wings of Courage,adventure romance,1995
33,34,Babe,children's comedy drama,1995
34,35,Carrington,drama romance,1995
35,36,Dead Man Walking,drama,1995
36,37,Across the Sea of Time,documentary,1995
37,38,It Takes Two,comedy,1995
38,39,Clueless,comedy romance,1995
39,40,"Cry, the Beloved Country",drama,1995
40,41,Richard III,drama war,1995
41,42,Dead Presidents,action crime drama,1995
42,43,Restoration,drama,1995
43,44,Mortal Kombat,action adventure,1995
44,45,To Die For,comedy drama,1995
45,46,How to Make an American Quilt,drama romance,1995
46,47,Seven (Se7en),crime thriller,1995
47,48,Pocahontas,animation children's musical romance,1995
48,49,When Night Is Falling,drama romance,1995
49,50,"Usual Suspects, The",crime thriller,1995
50,51,Guardian Angel,action drama thriller,1994
51,52,Mighty Aphrodite,comedy,1995
52,53,Lamerica,drama,1994
53,54,"Big Green, The",children's comedy,1995
54,55,Georgia,drama,1995
55,56,Kids of the Round Table,adventure children's fantasy,1995
56,57,Home for the Holidays,drama,1995
57,58,"Postino, Il (The Postman)",drama romance,1994
58,59,"Confessional, The (Le Confessionnal)",drama mystery,1995
59,60,"Indian in the Cupboard, The",adventure children's fantasy,1995
60,61,Eye for an Eye,drama thriller,1996
61,62,Mr. Holland's Opus,drama,1995
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,comedy,1996
63,64,Two if by Sea,comedy romance,1996
64,65,Bio-Dome,comedy,1996
65,66,Lawnmower Man 2: Beyond Cyberspace,sci-fi thriller,1996
66,67,Two Bits,drama,1995
67,68,French Twist (Gazon maudit),comedy romance,1995
68,69,Friday,comedy,1995
69,70,From Dusk Till Dawn,action comedy crime horror thriller,1996
70,71,Fair Game,action,1995
71,72,Kicking and Screaming,comedy drama,1995
72,73,"Misérables, Les",drama musical,1995
73,74,Bed of Roses,drama romance,1996
74,75,Big Bully,comedy drama,1996
75,76,Screamers,sci-fi thriller,1995
76,77,Nico Icon,documentary,1995
77,78,"Crossing Guard, The",drama,1995
78,79,"Juror, The",drama thriller,1996
79,80,"White Balloon, The (Badkonake Sefid )",drama,1995
80,81,Things to Do in Denver when You're Dead,crime drama romance,1995
81,82,Antonia's Line (Antonia),drama,1995
82,83,Once Upon a Time... When We Were Colored,drama,1995
83,84,Last Summer in the Hamptons,comedy drama,1995
84,85,Angels and Insects,drama romance,1995
85,86,White Squall,adventure drama,1996
86,87,Dunston Checks In,children's comedy,1996
87,88,Black Sheep,comedy,1996
88,89,Nick of Time,action thriller,1995
89,90,"Journey of August King, The",drama,1995
90,92,Mary Reilly,drama thriller,1996
91,93,Vampire in Brooklyn,comedy romance,1995
92,94,Beautiful Girls,drama,1996
93,95,Broken Arrow,action thriller,1996
94,96,In the Bleak Midwinter,comedy,1995
95,97,"Hate (Haine, La)",drama,1995
96,98,Shopping,action thriller,1994
97,99,Heidi Fleiss: Hollywood Madam,documentary,1995
98,100,City Hall,drama thriller,1996
99,101,Bottle Rocket,comedy,1996
100,102,Mr. Wrong,comedy,1996
101,103,Unforgettable,thriller,1996
102,104,Happy Gilmore,comedy,1996
103,105,"Bridges of Madison County, The",drama romance,1995
104,106,Nobody Loves Me (Keiner liebt mich),comedy drama,1994
105,107,Muppet Treasure Island,adventure children's comedy musical,1996
106,108,Catwalk,documentary,1995
107,109,Headless Body in Topless Bar,comedy,1995
108,110,Braveheart,action drama war,1995
109,111,Taxi Driver,drama thriller,1976
110,112,Rumble in the Bronx,action adventure crime,1995
111,113,Before and After,drama mystery,1996
112,114,Margaret's Museum,drama,1995
113,115,Happiness Is in the Field,comedy,1995
114,116,Anne Frank Remembered,documentary,1995
115,117,"Young Poisoner's Handbook, The",crime,1995
116,118,If Lucy Fell,comedy romance,1996
117,119,"Steal Big, Steal Little",comedy,1995
118,120,Race the Sun,drama,1996
119,121,"Boys of St. Vincent, The",drama,1993
120,122,Boomerang,comedy romance,1992
121,123,Chungking Express,drama mystery romance,1994
122,124,"Star Maker, The (Uomo delle stelle, L')",drama,1995
123,125,Flirting With Disaster,comedy,1996
124,126,"NeverEnding Story III, The",adventure children's fantasy,1994
125,127,"Silence of the Palace, The (Saimt el Qusur)",drama,1994
126,128,Jupiter's Wife,documentary,1994
127,129,Pie in the Sky,comedy romance,1995
