,movie_id,tags,title,genres,year
0,1,pixar pixar pixar animation pixar animated fun toy toys pixar rated g pixar pixar national film registry time travel pixar pixar funny imdb top  animation very good ya boy pixar time travel animation erlend s dvds cgi disney family pixar toys bright daring rescues fanciful heroic mission humorous light rousing toys come to life unlikely friendships warm witty pixar the boys almost favorite é ä é animation children disney pixar clever want to see again cartoon disney d computer animation disney animated feature pixar animation want buddy movie animation pixar tim allen tom hanks animation disney pixar toys computer animation cartoon pixar animation computer animation pixar toys tumey s to see again tumey s vhs classic disney engaging avi buy action figure action figures buzz lightyear cg animation toy toys woody disney pixar tim allen tom hanks animation pixar animation kids movie pixar tim allen time travel animation cgi adventure animation children comedy animation pixar lots of heart animation pixar adventure animation comedy family fantasy john lasseter usa animation disney pixar classic pixar first cgi film animation disney disney animation pixar pixar pixar animation disney villian hurts toys pixar computer animation pixar animated cgi comedy animation children's comedy animation children's comedy animation children's comedy animation children's comedy animation children's comedy,Toy Story ,animation children's comedy,1995
1,2,for children game animals joe johnston robin williams robin williams time travel animals board game fantasy robin williams robin williams adapted from book board game childhood recaptured game herds of cgi animals scary see also zathura time time travel board game saturn award best special effects saturn award best supporting actress lebbat filmed in bc children fantasy robin williams jungle robin williams animals fantasy monkey kid flick fantasy kirsten dunst robin williams robin williams adventure children's fantasy adventure children's fantasy adventure children's fantasy adventure children's fantasy adventure children's fantasy,Jumanji ,adventure children's fantasy,1995
2,3,funniest movies comedinha de velhinhos engraã ada moldy old grun running moldy old comedinha de velhinhos engraãƒâ ada old people that is actually funny sequel fever jack lemmon walter matthau comedy romance comedy romance comedy romance comedy romance comedy romance,Grumpier Old Men ,comedy romance,1995
3,4,girl movie comedy drama comedy drama comedy drama comedy drama comedy drama,Waiting to Exhale ,comedy drama,1995
4,5,steve martin pregnancy remake steve martin family pregnancy wedding fantasy childhood classics it thought it was funny but it wasn t watched under duress worst movies ever sequel fever family sequel wedding childhood classics steve martin comedy comedy comedy comedy comedy,Father of the Bride Part II ,comedy,1995
5,6,can t remember setting la who cares dvds overrated vontatott imdb top  bibliothek  long recommendz top pick atmospheric bleak slick somber tense visceral witty overrated top  ever want guns can t remember owned tumey s dvds too long overrated al pacino robert de niro in the nucleus clearplay r need to own ending lame recommendz top pick overrated al and robert too long action crime thriller action crime thriller action crime thriller action crime thriller action crime thriller,Heat ,action crime thriller,1995
6,7,based on a play greg kinnear remake remake remake relationships romance remadeas sabrina  remakeof sabrina  upstairs downstairs remake romance sexuality greg kinnear romance harrison ford chick flick remake romance comedy romance comedy romance comedy romance comedy romance comedy romance,Sabrina ,comedy romance,1995
7,8,adapted from book author mark twain adventure children's adventure children's adventure children's adventure children's adventure children's,Tom and Huck ,adventure children's,1995
8,9,can t remember jean claude van damme action action action action action,Sudden Death ,action,1995
9,10,franchise bond seen more than once sean bean dies best of the brosnon bonds bond i wanted the bad guy to win sean bean out bonds bond  bond it s a good movie but the end of  is always the same bond  series assassin killer as protagonist murder owned james bond tumey s dvds action adventure james bond  bond espionage good dialogue bond james bond pierce brosnan  bond tank chase scene  james bond its an ok movie if you like james bound bond bond bond  bond boys with toys gadgets secret service sequel spies violence  bond  bond james bond  james bond bond action adventure thriller action adventure thriller action adventure thriller action adventure thriller action adventure thriller,GoldenEye ,action adventure thriller,1995
10,11,girlie movie politics dvd collection politics president    bibliothek seen cute seen more than once drama romance amazing kung fu decent flick president us president white house president aaron sorkin comedy drama romance comedy drama romance comedy drama romance comedy drama romance comedy drama romance,"American President, The ",comedy drama romance,1995
11,12,mel brooks spoof gothic vampire comedy horror comedy horror comedy horror comedy horror comedy horror,Dracula: Dead and Loving It ,comedy horror,1995
12,13,ei muista dogsled sort of boring animation children's animation children's animation children's animation children's animation children's,Balto ,animation children's,1995
13,14, biopic biography historical opinion anthony hopkins drama based on a true story biographical cinematographer robert richardson politics president own biopic character based on real person richard nixon us president tumey s vhs oliver stone president oliver stone wooohoo political drama drama drama drama drama drama,Nixon ,drama,1995
14,15,pirates pirates pirate action adventure romance action adventure romance action adventure romance action adventure romance action adventure romance,Cutthroat Island ,action adventure romance,1995
15,16,based on a book imdb top  cinematographer robert richardson mafia mafia deniro gangster pesci vegas on dvr martin scorsese cult film mafia robert de niro scorcese based on a book bibliothek mafia narrated martin scorsese martin scorsese masterpiece martin scorsese eric s dvds nudity rear nudity topless brief  robert de niro scorcese divx martin scorsese las vegas martin scorsese mob mafia tumey s dvds mafia cannibalism robert deniro martin scorsese watch martin scorsese robert de niro mafia non fiction de niro in pink violent need to own complex goodfellas ii drama thriller drama thriller drama thriller drama thriller drama thriller,Casino ,drama thriller,1995
16,17,ang lee jane austen british jane austen jane austen historical literature jane austen chick flick hulu boring nothing happens jane austen british bibliothek emma thompson jane austen based on a book chick flick great screenplays historical literature emma thompson kate winslet based on a book british jane austen great adaptations great screenplays english romance adapted from book author jane austen alan rickman jane austen based on a book jane austen period regency england jane austen based on a book british classic jane austen british shakespeare sven s to see list jane austen drama romance drama romance drama romance drama romance drama romance,Sense and Sensibility ,drama romance,1995
17,18,tarantino tarantino own tarantino nudity topless nudity topless alexandre rockwell allison anders rodriguez tarantino  tarantino tumey s vhs quentin tarantino robert rodriguez multiple storylines comedy drama thriller tarantino quentin tarantino robert rodriguez corpse in the bed tarantino thriller thriller thriller thriller thriller,Four Rooms ,thriller,1995
18,19,not my kind of comedy jim carrey jim carrey steve oedekerk comedy jim carrey jim carrey not my kind of comedy jim carrey rhino action d jim carrey not my kind of comedy africa crazy hehehe jim carrey one of the worst movies of all time comedy comedy comedy comedy comedy,Ace Ventura: When Nature Calls ,comedy,1995
19,20,intense lame afternoon section nudity topless brief money worthwhile lopez action action action action action,Money Train ,action,1995
20,21,hollywood travolta hollywood owned mafia satire hollywood insiders john travolta getting old but still excellent john travolta watch gene hackman crime mob hollywood foqam funny gene hackman hilarious hollywood john travolta mafia satire satire hollywood insiders action comedy drama action comedy drama action comedy drama action comedy drama action comedy drama,Get Shorty ,action comedy drama,1995
21,22,serial killer serial killer serial killer serial killer serial killer crime drama thriller crime drama thriller crime drama thriller crime drama thriller crime drama thriller,Copycat ,crime drama thriller,1995
22,23,afternoon section   divx kill thriller thriller thriller thriller thriller,Assassins ,thriller,1995
23,24,albino albino special powers earnest elegiac poignant reflective tearjerking owned can t remember misunderstood character teaches us all a cheesy lesson post apocalyptic inane pretentious drama sci-fi drama sci-fi drama sci-fi drama sci-fi drama sci-fi,Powder ,drama sci-fi,1995
24,25,alcoholism library oscar best actor addiction loneliness love is not enough bibliothek overrated elisabeth emotion nicolas cage nicolas cage oscar best actor alcoholism atmospheric elegiac intimate melancholy poignant prostitutes star crossed lovers suicide understated nudity topless nicolas cage depressing bibliothek owned suicide nicolas cage alcoholism dark drama romance drama romance drama romance drama romance drama romance,Leaving Las Vegas ,drama romance,1995
25,26,based on a play shakespearean shakespeare shakespeare shakespeare shakespeare shakespeare ei muista shakespeare nudity topless adapted from play playwright shakespeare shakespeare wow great drama drama drama drama drama,Othello ,drama,1995
26,27,nan,Now and Then ,drama,1995
27,28,based on a book jane austen in netflix queue jane austen library vhs fiona shaw jane austen adaptation jane austen jane austen adapted from book author jane austen jane austen jane austen jane austen jane austen oppl romance romance romance romance romance,Persuasion ,romance,1995
28,29,jeunet visually appealing beautiful dark fantasy dystopia kidnapping clowny clones abused children surreal on computer dystopia children santa claus dystopia mechanized surreal dystopia surreal legenda pt br steampunk erlend s dvds atmospheric bleak dreamlike fanciful hallucinatory stylized whimsical   dark fantasy dystopia steampunk surreal surreal fanciful santa claus surreal bleak children kidnapping steampunk surreal beautiful need to own dark fairytale sci fi netflix instant watching skinut adventure sci-fi adventure sci-fi adventure sci-fi adventure sci-fi adventure sci-fi,"City of Lost Children, The ",adventure sci-fi,1995
29,30,nan,Shanghai Triad (Yao a yao yao dao waipo qiao) ,drama,1995
30,31,dangerous minds high school teacher bibliothek afternoon section own erlend s dvds seen at the cinema high school teacher as protagonist drama crime island drama drama drama drama drama,Dangerous Minds ,drama,1995
