movie_id,title,genres,year,tconst,averageRating,numVotes,isAdult,runtimeMinutes,original_language,budget,overview,popularity,revenue,tagline,tmdb_vote_avg,tmdb_vote_count
1,Toy Story,animation children's comedy,1995,tt0114709,8.3,953300.0,0.0,81,en,30000000,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",201,373554033,,8,15145
2,Jumanji,adventure children's fantasy,1995,tt0113497,7.0,333517.0,0.0,104,en,125000000,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",141,800059707,,7,6762
3,Grumpier Old Men,comedy romance,1995,tt0113228,6.6,26811.0,0.0,101,en,25000000,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",15,71500000,Still Yelling. Still Fighting. Still Ready for Love.,6,288
4,Waiting to Exhale,comedy drama,1995,tt0114885,5.9,10757.0,0.0,124,en,16000000,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",10,81452156,Friends are the people who let you be yourself... and never let you forget it.,6,120
5,Father of the Bride Part II,comedy,1995,tt0113041,6.0,37343.0,0.0,106,en,0,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",17,76594107,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,6,561
6,Heat,action crime thriller,1995,tt1870422,-1.0,-1.0,0.0,-1,en,60000000,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,50,187436818,A Los Angeles crime saga.,7,5371
7,Sabrina,comedy romance,1995,tt1418248,-1.0,-1.0,0.0,-1,en,2239000,"Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work – busily running the family corporate empire, he has no time for a wife and family. David is all play – technically he is employed by the family business, but never shows up for work, spends all his time entertaining, and has been married and divorced three times. Meanwhile, Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who goes away to Paris for two years, and returns to capture David's attention, while falling in love with Linus.",21,10000000,...the chauffeur's daughter who learned her stuff in Paris,7,965
8,Tom and Huck,adventure children's,1995,tt0112302,5.5,10708.0,0.0,97,en,0,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",13,23920048,The Original Bad Boys.,5,141
9,Sudden Death,action,1995,tt0176200,5.6,158.0,0.0,89,en,35000000,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,17,64350171,Terror goes into overtime.,5,534
10,GoldenEye,action adventure thriller,1995,tt0113189,7.2,252518.0,0.0,130,en,58000000,"When a powerful Russian satellite weapon is hijacked by a mysterious crime syndicate, it's up to James Bond, with the help of programmer Natalya Simonova, to find the culprits and save the world from disaster.",37,352194034,No limits. No fears. No substitutes.,6,3050
11,The American President,comedy drama romance,1995,tt0112346,6.8,56507.0,0.0,114,en,62000000,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",17,107879496,Why can't the most powerful man in the world have the one thing he wants most?,6,538
12,Dracula: Dead and Loving It,comedy horror,1995,tt0112896,5.8,41135.0,0.0,88,en,30000000,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",21,10772144,,6,722
13,Balto,animation children's,1995,tt0112453,7.1,42711.0,0.0,78,en,0,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",25,11348324,Part Dog. Part Wolf. All Hero.,7,1685
14,Nixon,drama,1995,tt0113987,7.1,30529.0,0.0,192,en,44000000,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,9,13681765,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",6,256
15,Cutthroat Island,action adventure romance,1995,tt0112760,5.7,27785.0,0.0,124,en,98000000,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",16,10017322,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,5,403
16,Casino,drama thriller,1995,tt13540288,-1.0,-1.0,0.0,-1,en,150000000,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",58,599045960,Everyone has a past. Every legend has a beginning.,7,8750
17,Sense and Sensibility,drama romance,1995,tt13609648,-1.0,-1.0,0.0,-1,en,16000000,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",23,134582776,Lose your heart and come to your senses.,7,1298
18,Four Rooms,thriller,1995,tt0113101,6.7,103228.0,0.0,98,en,4000000,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,19,4257354,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",5,2126
19,Ace Ventura: When Nature Calls,comedy,1995,tt0112281,6.4,212795.0,0.0,90,en,30000000,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",37,212385533,New animals. New adventures. Same hair.,6,3295
20,Money Train,action,1995,tt0113845,5.7,40656.0,0.0,110,en,68000000,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",19,77224232,"Get on, or GET OUT THE WAY!",5,595
21,Get Shorty,action comedy drama,1995,tt0113161,6.9,82484.0,0.0,105,en,30250000,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",18,115101622,"The mob is tough, but it’s nothing like show business.",6,774
22,Copycat,crime drama thriller,1995,tt0112722,6.6,58210.0,0.0,123,en,20000000,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,19,32000000,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they’re next.",6,708
23,Assassins,thriller,1995,tt15007640,-1.0,-1.0,0.0,-1,en,0,"True crime meets global spy thriller in this gripping account of the assassination of Kim Jong-nam, the half brother of the North Korean leader. The film follows the trial of the two female assassins, probing the question: were the women trained killers or innocent pawns of North Korea?",101,0,,7,7
24,Powder,drama sci-fi,1995,tt15257646,-1.0,-1.0,0.0,-1,en,0,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",18,0,An extraordinary encounter with another human being.,6,450
25,Leaving Las Vegas,drama romance,1995,tt0113627,7.5,121361.0,0.0,111,en,3600000,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",26,49800000,I Love You... The Way You Are.,7,1048
26,Othello,drama,1995,tt5699708,-1.0,-1.0,0.0,-1,en,0,"When a secret marriage is planned between Othello, a Moorish general, and Desdemona, the daughter of Senator Brabantio, her old suitor Roderigo takes it hard. He allies himself with Iago, who has his own grudge against Othello, and the two conspire to bring Othello down. When their first plan, to have him accused of witchcraft, fails, they plant evidence intended to make him believe Desdemona is unfaithful.",11,0,Orson Welles' magnificent screening of Shakespeare's immortal tragedy,7,146
27,Now and Then,drama,1995,tt0440679,-1.0,-1.0,0.0,50,en,12000000,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",10,27400000,In every woman there is the girl she left behind.,6,342
28,Persuasion,romance,1995,tt13097216,-1.0,-1.0,0.0,-1,en,0,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",16,0,,7,98
