movie_id,title,genres,year,imdb_rating,imdb_num_votes,is_adult,runtime_minutes,budget,original_language,overview,popularity,revenue,tagline,tmdb_vote_count,tmdb_vote_avg
1,toy story,animation children's comedy,1995,8,953300,0,81,30000000,en,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",165,373554033,,15156,8
2,jumanji,adventure children's fantasy,1995,7,333517,0,104,125000000,en,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",122,800059707,,6769,7
3,grumpier old men,comedy romance,1995,6,26811,0,101,25000000,en,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",9,71500000,Still Yelling. Still Fighting. Still Ready for Love.,288,6
4,waiting to exhale,comedy drama,1995,5,10757,0,124,16000000,en,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",8,81452156,Friends are the people who let you be yourself... and never let you forget it.,120,6
5,father of the bride part ii,comedy,1995,6,37343,0,106,0,en,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",14,76594107,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,561,6
6,heat,action crime thriller,1995,8,627213,0,170,60000000,en,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,41,187436818,A Los Angeles crime saga.,5374,7
7,sabrina,comedy romance,1995,6,40380,0,127,2239000,en,"Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work – busily running the family corporate empire, he has no time for a wife and family. David is all play – technically he is employed by the family business, but never shows up for work, spends all his time entertaining, and has been married and divorced three times. Meanwhile, Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who goes away to Paris for two years, and returns to capture David's attention, while falling in love with Linus.",19,10000000,...the chauffeur's daughter who learned her stuff in Paris,965,7
8,tom and huck,adventure children's,1995,5,10708,0,97,0,en,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",9,23920048,The Original Bad Boys.,141,5
9,sudden death,action,1995,5,34090,0,111,35000000,en,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,17,64350171,Terror goes into overtime.,534,5
10,goldeneye,action adventure thriller,1995,7,252518,0,130,58000000,en,"When a powerful Russian satellite weapon is hijacked by a mysterious crime syndicate, it's up to James Bond, with the help of programmer Natalya Simonova, to find the culprits and save the world from disaster.",30,352194034,No limits. No fears. No substitutes.,3052,6
11,"american president, the",comedy drama romance,1995,6,56507,0,114,62000000,en,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",12,107879496,Why can't the most powerful man in the world have the one thing he wants most?,538,6
12,dracula: dead and loving it,comedy horror,1995,5,41135,0,88,30000000,en,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",20,10772144,,722,6
13,balto,animation children's,1995,7,42711,0,78,0,en,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",19,11348324,Part Dog. Part Wolf. All Hero.,1685,7
14,nixon,drama,1995,7,30529,0,192,0,en,"In 1970, a few days before Christmas, Elvis Presley showed up on the White House lawn seeking to be deputized into the Bureau of Narcotics and Dangerous Drugs by the President himself.",12,1055287,"On December 21st, 1970, two of America's greatest recording artists met for the first time.",327,5
15,cutthroat island,action adventure romance,1995,5,27785,0,124,98000000,en,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",14,10017322,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,403,5
16,casino,drama thriller,1995,8,501200,0,178,150000000,en,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",42,599045960,Everyone has a past. Every legend has a beginning.,8755,7
17,sense and sensibility,drama romance,1995,7,112484,0,136,16000000,en,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",18,134582776,Lose your heart and come to your senses.,1300,7
18,four rooms,thriller,1995,6,103228,0,98,4000000,en,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,18,4257354,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",2126,5
19,ace ventura: when nature calls,comedy,1995,6,212795,0,90,30000000,en,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",27,212385533,New animals. New adventures. Same hair.,3298,6
20,money train,action,1995,5,40656,0,110,68000000,en,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",15,77224232,"Get on, or GET OUT THE WAY!",595,5
21,get shorty,action comedy drama,1995,6,82484,0,105,30250000,en,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",17,115101622,"The mob is tough, but it’s nothing like show business.",774,6
22,copycat,crime drama thriller,1995,6,58210,0,123,20000000,en,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,12,32000000,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they’re next.",708,6
23,assassins,thriller,1995,6,81823,0,133,0,en,"True crime meets global spy thriller in this gripping account of the assassination of Kim Jong-nam, the half brother of the North Korean leader. The film follows the trial of the two female assassins, probing the question: were the women trained killers or innocent pawns of North Korea?",71,0,,7,7
24,powder,drama sci-fi,1995,6,30001,0,111,0,en,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",18,0,An extraordinary encounter with another human being.,451,6
25,leaving las vegas,drama romance,1995,7,121361,0,111,3600000,en,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",22,49800000,I Love You... The Way You Are.,1049,7
26,othello,drama,1995,6,9570,0,123,0,en,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,10,0,"Envy, greed, jealousy and love.",115,6
27,now and then,drama,1995,6,29215,0,100,12000000,en,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",9,27400000,In every woman there is the girl she left behind.,342,6
28,persuasion,romance,1995,-1,-1,-1,-1,0,en,Persuasion is the newest adaptation of the classic Jane Austen novel of the same name published in 1818. Anne falls deeply in love with handsome young naval officer Frederick Wentworth at the age of nineteen.,12,0,,219,7
29,"city of lost children, the",adventure sci-fi,1995,7,67707,0,112,18000000,fr,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",15,1738611,Where happily ever after is just a dream.,796,7
30,shanghai triad (yao a yao yao dao waipo qiao),drama,1995,7,5586,0,108,2300000,zh,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",9,0,"In 1930, Shanghai violence was not the problem. It was the solution.",57,6
31,dangerous minds,drama,1995,6,51879,0,99,23000000,en,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",20,179519401,She broke the rules... and changed their lives.,866,6
32,twelve monkeys,drama sci-fi,1995,8,605116,0,129,29000000,en,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",24,168841459,The future is history.,6738,7
33,wings of courage,adventure romance,1995,6,681,0,50,0,fr,"In 1920's South America a small group of Americans struggle to prove they can offer a reliable airmail service over the Andes. When one of the young pilots crashes on such a flight he has to try and get back to civilization on foot. Back home, his wife and colleagues start to fear the worst.",2,0,,14,6
34,babe,children's comedy drama,1995,6,123193,0,91,30000000,en,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",24,254134910,A little pig goes a long way.,2358,6
35,carrington,drama romance,1995,6,5443,0,121,0,en,"Painter Dora Carrington develops an intimate but extremely complex bond with writer Lytton Strachey. Though Lytton is a homosexual, he is enchanted by the mysterious Dora and they begin a lifelong friendship that has strangely romantic undertones. Eventually, Lytton and Dora decide to live together, despite the fact that the latter has fallen in love with military man Ralph Partridge, whom she plans to marry.",6,0,A Love so Unusual it has to be True,53,6
36,dead man walking,drama,1995,7,93470,0,122,11000000,en,"A justice drama based on a true story about a man on death row who, in his last days, forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality, as she accompanies him to his execution.",14,39363635,,1043,7
37,across the sea of time,documentary,1995,6,297,0,51,0,en,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",1,16015639,,3,4
38,it takes two,comedy,1995,5,22290,0,101,0,en,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",18,19474589,Two identical strangers. Two different worlds. One perfect match.,724,6
39,clueless,comedy romance,1995,6,205882,0,97,12000000,en,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",35,56631572,Sex. Clothes. Popularity. Is there a problem here?,3406,7
40,"cry, the beloved country",drama,1995,6,1836,0,106,0,en,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,4,676525,,20,6
41,richard iii,drama war,1995,7,14569,0,110,0,en,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",9,2748518,"I can smile, and murder while I smile",135,6
42,dead presidents,action crime drama,1995,6,21858,0,119,10000000,en,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,11,24147179,"In this daring heist, the only color that counts is green",209,6
43,restoration,drama,1995,6,9404,0,117,19000000,en,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",9,0,"An ordinary man, an irresistible offer. In a world of seduction and power, temptation has its price.",86,6
44,mortal kombat,action adventure,1995,5,116432,0,101,20000000,en,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",427,83601013,Get over here.,4462,7
